음식이름,음식재료,음식조리법,음식영양성분,음식이미지url
스모키 흰 콩 Shakshuka,"9.9 온스 통조림 Cannellini 콩 (배수)
60g 빨간 피망
1.1 온스 브라운 양파 (깍둑 썰기)
1.1 온스 당근 (깍둑 썰기)
1.1 온스 셀러리 (깍둑 썰기)
0.5 티스푼 커민
0.5 티스푼 파프리카
0.5 티스푼 카이엔 고추
2.9 온스 통조림 분쇄 토마토
1 히말라야 소금과 후추를 꼬집어
2ml 올리브 오일
1.1 온스 페타 치즈 (무너짐)","지침
비 스틱 팬에 올리브 오일을 중간 열에 가열하고 양파를 몇 분 동안 볶습니다.피망, 당근, 셀러리, 파프리카, 커민 및 카이엔 고추를 넣고 몇 분 동안 또는 야채가 부드러워 질 때까지 요리합니다.
분쇄 된 토마토를 넣고 끓인 다음 두꺼운 일관성이 될 때까지 요리하십시오.
몇 분 동안 저어주는 콩을 첨가하십시오.소금과 후추로 간을 맞춘다.
부서진 페타 치즈와 함께 콩과 윗면에 제공하십시오.","서빙 크기 546g
칼로리 441 Cal
단백질 26g
지방, 총 12.1g
- 포화 6.2g
탄수화물 45.2g
- 설탕 15.3g
나트륨 1328mg",https://cdn.f45training.com/strapi/uploads/2020/04/27110323/smoky----bean-shakshuka.jpg
"스페인 치킨, 검은 올리브 및 감자 매쉬","11 온스 닭 가슴살 필레 (피부 없음, 잘게 썬)
0.4 fl.oz 엑스트라 버진 올리브 오일 (2 tsp. (팬 용))
1.8 온스 붉은 양파 (깍둑 썰기)
마늘 정향 2 개 (다진)
2.9 온스 당근 (깍둑 썰기)
70g 빨간 피망
1 티스푼 커민
1 티스푼 파프리카
5.3 온스 통조림 분쇄 토마토
2.2 온스 올리브 (검은 색)
1 히말라야 소금과 후추를 꼬집어
12 온스 Desiree Potato (껍질, 깍둑 썰기)
0.3 fl.oz 엑스트라 버진 올리브 오일 (1.5 tsp. 감자 매쉬)
1 핀치 히말라야 소금 (감자 매쉬 용)
0.2 온스 파슬리 (다진)","지침
중간 온도에서 스틱 팬에 올리브 오일을 가열하고 몇 분 동안 붉은 양파와 마늘을 볶습니다.당근, 피망, 커민 및 훈제 파프리카를 넣고 몇 분 동안 요리합니다.
닭고기를 팬에 넣고 거의 요리 할 때까지 몇 분 동안 요리하십시오.
분쇄 된 토마토, 칼라 마타 올리브, 소금, 후추를 넣고 약 15-20 분 동안 저열로 끓입니다.
한편, 부드러워 질 때까지 끓는 물 위에 김이 나는 바구니에 감자를 요리하십시오.준비가되면 포크 또는 매시를 사용하여 그릇으로 옮기고 매쉬하십시오.올리브 오일과 소금으로 양념하십시오
감자 매쉬와 함께 스페인 닭고기를 제공하고 갓 다진 파슬리와 함께 탑
내일의 남은 음식을 냉장 보관하십시오","서빙 크기 547g
칼로리 451 Cal
단백질 40.87g
지방, 총 18g
- 포화 된 3.6g
탄수화물 28.27g
- 설탕 10.82g
섬유 8.26g
나트륨 760.4mg",https://cdn.f45training.com/strapi/uploads/2020/04/20152141/spanish-chicken-black-olives-potato-mash.jpg
Choc Chia Coconut Pudding,"4.1 fl.oz 무가당 아몬드 우유
1.1 온스 아보카도 (매시)
2 온스의 코코넛 요거트
0.6 온스 PI 영양 초콜릿 유청 분리 또는 식물 기반 대안
0.2 온스 카카오 분말
0.2 fl.oz 메이플 시럽 (1 tsp)
1 핀치 계피
0.9 온스 치아 씨앗","지침
모든 재료를 항아리에 넣고 잘 섞습니다.
Chia Pudding이 잘 결합되면 밤새 또는 1-2 시간 동안 설정하십시오.
봉사하고 즐기십시오
** Chia Pudding은 전날 밤에 만들어 질 수 있으며 봉사 할 준비가 될 때까지 냉장고에 보관할 수 있습니다.","서빙 크기 257g
칼로리 454 Cal
단백질 20.1g
지방, 총 32.5g
- 포화 된 15.5g
탄수화물 20.1g
- 설탕 5.8g
나트륨 357mg",https://cdn.f45training.com/strapi/uploads/2019/10/16133421/choc-chia-pudding.jpg
베리 브렉 키 오트 스무디,"0.9 온스 PI 영양 바닐라 유청 분리 물 (또는 식물 기반 대안)
1.5 온스 롤 귀리
5.3 온스 냉동 라즈베리
0.6 온스 땅콩 버터
10 fl.oz 무가당 아몬드 우유
2.5 온스 얼음 (0.5 컵)","지침
믹서기에 모든 재료를 추가하고 부드러운 일관성이 형성 될 때까지 혼합하십시오.
스무디를 큰 유리에 붓습니다
제공하다","서빙 크기 615g
칼로리 445 Cal
단백질 32.1g
지방, 총 15.5g
- 포화 2.5g
탄수화물 34.9g
- 설탕 12g
나트륨 259mg",https://cdn.f45training.com/strapi/uploads/2020/04/20162420/Berry-oat-smooth.jpg
레몬과 생강 치킨 볶음,"9.9 온스 닭 가슴살 필레 (깍둑 썰기)
5.3 온스 브로콜리 (플로렛으로 자르기)
4.3 온스 콜리 플라워 (플로렛으로 자르기)
5.3 온스 당근 (다진)
5 온스 Bok Choy (RAW)
0.4 fl.oz 엑스트라 버진 올리브 오일
0.4 온스 참깨 씨앗
1.2 fl.oz 참깨 (레몬과 생강 소스)
0.2 온스 붉은 고추 (다진 (레몬과 생강 소스)
마늘 정향 2 개 (다진 (레몬과 생강 소스)
0.2 온스 생강 뿌리 (껍질, 다진 (레몬과 생강 소스)
0.5fl.오즈 레몬 주스 (레몬과 생강 소스)
0.6 fl.oz 감소 된 소금 간장 (레몬과 생강 소스)
0.7 fl.oz 물 (레몬과 생강 소스)","지침
중간 온도에서 스틱이없는 냄비로 올리브 오일을 가열하고 닭고기를 각면에서 3-4 분 동안 또는 익힐 때까지 볶습니다.냄비에서 닭고기를 제거하십시오
레몬과 생강 소스를 요리하려면 같은 냄비를 사용하여 중간 온도로 재가열하고 생강, 마늘, 고추를 1 분 동안 볶습니다.
콜리 플라워, 브로콜리, 당근, Bok Choy 및 Water를 섞어 뚜껑으로 6-8 분 동안 계속 요리하여 증기를 만듭니다.
몇 분 후에 닭고기, 간장, 참기름 및 레몬 주스를 넣으십시오.
참깨 씨앗을 뿌립니다
레몬 & 생강 치킨 볶음 날개의 절반을 제공하고 내일의 남은 음식을 냉장 보관하십시오.","서빙 크기 483g
칼로리 450 cal
단백질 39.92g
지방, 총 26.33g
- 포화 4.22g
탄수화물 8.88g
- 설탕 7.61g
나트륨 460.12mg",https://cdn.f45training.com/strapi/uploads/2020/04/14151622/lemon-ginger-chicken-stir-fry.jpg
고구마와 코코넛 dhal 수프,"7.8 온스 레드 렌즈 콩 (요리되지 않은)
3.6 온스 고구마 (깍둑 썰기)
3.4 fl.oz 통조림 코코넛 밀크
1.1 fl.oz 물
1.6 온스 갈색 양파 (깍둑 썰기)
0.1 온스 생강 뿌리 (껍질과 격자)
마늘 정향 2 개 (으깬)
0.5 티스푼 심황 가루
0.5 티스푼 커민
0.1 온스 카레 잎 (2 개의 잎)
1 히말라야 소금과 후추를 꼬집어
0.1 fl.oz 엑스트라 버진 올리브 오일 (0.5 tsp)","지침
큰 냄비에 올리브 오일을 데우고 카레 잎과 양파를 몇 분 동안 볶습니다.마늘, 생강 및 향신료를 넣고 향기가 나올 때까지 몇 분 더 요리하십시오.냄비에서 카레 잎을 제거하십시오.
코코넛 밀크, 물, 붉은 렌즈 콩, 고구마, 소금 및 후추를 넣고 끓입니다.30 분 동안 또는 고구마와 렌즈 콩이 부드러워 질 때까지 저열로 끓입니다.
그릇에 수프를 제공하십시오.","서빙 크기 470g
칼로리 450 cal
단백질 19.2g
지방, 총 17.7g
- 포화 된 12.1g
탄수화물 47.3g
- 설탕 9.6g
나트륨 744mg",https://cdn.f45training.com/strapi/uploads/sweet-potato-%26-coconut-dhal-soup_8a4f29e8e8.jpeg
"멕시코 쇠고기, 붉은 양배추 및 뿌리 야채 매쉬","11 온스 쇠고기 다진 (생)
5.7 온스 붉은 양배추 (다진)
6.8 온스 흰색 감자 (껍질을 벗기고 깍둑 썰기)
3.6 온스 고구마 (깍둑 썰기)
1 히말라야 소금을 꼬집어
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp.)
1.6 온스 갈색 양파 (깍둑 썰기)
마늘 정향 2 개 (으깬)
1 티스푼 칠리 가루
1 티스푼 파프리카
1 티스푼 커민
0.7fl 오즈 라임 주스
2.5 온스 통조림 분쇄 토마토
2.4 fl.oz 감소 된 소금 액체 쇠고기 스톡
0.1 fl.oz 엑스트라 버진 올리브 오일 (으깬 감자 용)","지침
중간 온도에서 비 스틱 팬에 올리브 오일을 가열하고 양파와 마늘을 2 분 동안 볶습니다.향신료를 넣고 향기가 날 때까지 몇 분 동안 요리하십시오.
쇠고기 다진을 팬에 넣고 요리하는 동안 분해하십시오.분쇄 된 토마토, 쇠고기 스톡, 라임 주스, 소금을 넣고 20 분 동안 저열로 끓입니다.
한편, 감자와 고구마를 끓는 바구니에 끓는 물 위에 부드러워 질 때까지 요리하십시오.몇 분 남은 상태에서 양배추를 추가하십시오.준비가되면 감자를 그릇에 옮기고 포크 또는 매시를 사용하여 으깬다.올리브 오일과 소금으로 양념하십시오.
붉은 양배추와 야채 매쉬와 함께 멕시코 쇠고기를 제공하십시오.
내일의 남은 음식을 냉장 보관하십시오.","서빙 크기 499g
칼로리 452 Cal
단백질 42.39g
지방, 총 19.15g
- 포화 7.14g
탄수화물 23.57g
- 설탕 9.57g
나트륨 377mg
섬유 8.59g",https://cdn.f45training.com/strapi/uploads/2020/04/10105633/mexican-beef-red-cabbage-_-root-getable-mash.jpg
타히니 민트 드레싱을 곁들인 고대 곡물 샐러드,"1.5 온스 Freekah (요리되지 않은)
1.5 온스 퀴 노아 (요리되지 않은)
8.5 fl.oz 물 (필터링)
2.9 온스 통조림 병아리 콩 (425g = 225g 병아리 콩, 배수) (배수)
피스타치오 0.6 온스
0.8 온스 건조 건포도
1.8 온스 페타 치즈 (무너짐)
1.1 온스 파슬리 (다진)
1.1 온스 타히니 (Tahini Mint Dressing)
0.75FL.오즈 레몬 주스 (Tahini Mint Dressing)
1.1 온스 무가당 그리스 요구르트 (Tahini Mint Dressing)
2 티스푼 말린 민트 (Tahini Mint Dressing)
1 꼬집음 히말라야 소금 (Tahini 민트 드레싱)","지침
중간 온도에서 냄비에 물을 끓여 Freekah와 Quinoa를 첨가하십시오.열을 줄이고 15 분 동안 또는 곡물이 넓어지고 물이 흡수 될 때까지 계속 요리하십시오.필요한 경우 더 많은 물을 추가하십시오.따로
드레싱 성분을 별도로 결합하십시오
큰 그릇에 곡물, 병아리 콩, 피스타치오, 건포도, 페타 치즈 및 파슬리를 결합합니다.
샐러드의 절반을 요리하고 드레싱의 절반으로 드레스
내일의 남은 음식을 위해 다른 부분을 냉장 보관하십시오.","서빙 크기 313g
칼로리 444 Cal
단백질 19.2g
지방, 총 21.2g
- 포화 6.0g
탄수화물 41.1g
- 설탕 11.1g
나트륨 253mg",https://cdn.f45training.com/strapi/uploads/2020/04/24125134/Ancient-grain-salad-with-tahini-mint-dressing.jpg
딸기 Muesli 요거트 그릇,"4.3 온스 무가당 그리스 요거트
1.1 온스 딸기 (다진)
0.6 온스 호두 (다진)
1.5 온스 롤 귀리 (건조)
0.6 온스 녹색 사과 (슬라이스)
7G 호박 씨앗
0.2 온스 생 아몬드 (다진)
0.5 티스푼 계피","지침
요거트를 그릇에 넣습니다
딸기, 호두, 롤 오트, 녹색 사과, 페피 타스 및 아몬드를 섞어
제공하다","서빙 크기 233g
칼로리 458 Cal
단백질 17.82g
지방, 총 25.69g
- 포화 5.78g
탄수화물 34.65g
- 설탕 14.67g
나트륨 89.25mg",https://cdn.f45training.com/strapi/uploads/2020/04/10103146/strawberry-muesli-yoghurt-bowl.jpg
채소와 현미를 곁들인 태국 녹색 카레 닭고기,"7.1 온스 치킨 가슴 필레 (다진)
0.4 fl.oz 엑스트라 버진 올리브 오일 (2 tsp)
2.5 온스 현미
6 fl.oz 물
1.5 온스 붉은 양파 (깍둑 썰기)
4.1 온스 빨간 피망 (다진)
0.2 온스 생강 (1.5 tsp, grated)
0.5 티스푼 심황
1 히말라야 소금을 꼬집어
4.1 온스 가지 (깍둑 썰기)
5.3 온스 고구마 (깍둑 썰기)
5.3 온스 녹두 (트리밍)
0.3 온스 캐슈 (잘게 썬)
카레 소스
0.2 온스 녹색 카레 페이스트 (1 tsp)
1.7 fl.oz 통조림 코코넛 밀크
1.4 fl.oz 물
2 tsp.(0.3 fl.oz) 레몬 주스","지침
중간 냄비에 물을 끓입니다.쌀을 첨가 한 다음 열을 낮은 끓인다.약 18-20 분 동안 또는 쌀이 부드러워 질 때까지 밥을 요리하십시오.열에서 냄비를 제거하고 약 5 분 동안 밥을 덮게하십시오.
큰 냄비에 올리브 오일을 데우고 부드러워 질 때까지 양파를 볶습니다.생강, 닭고기, 심황, 소금 및 피망을 넣고 향기가 될 때까지 4 분 더 요리하십시오.
다음으로 카레 소스 성분을 모두 추가하십시오.녹색 카레 페이스트, 코코넛 크림, 물 및 레몬 주스.두껍게되기 시작할 때까지 모든 것을 20 분 동안 끓여서 닭고기가 요리됩니다.
고구마, 녹두 및 가지를 끓는 바구니에 끓는 물에 부드러워 질 때까지 끓는 바구니를 뿌립니다.
닭고기, 야채 및 현미를 두 그릇과 캐슈로 윗위로 나눕니다.
지금 하나를 제공하고 내일을 위해 냉장 보관하십시오
즐기다","서빙 크기 465g
칼로리 456 Cal
단백질 31.0g
지방, 총 16.0g
- 포화 6.7g
탄수화물 43.5g
- 설탕 11.5g
나트륨 109mg",https://cdn.f45training.com/strapi/uploads/2020/04/07221356/thai-chicken-_-vegetables-green-curry-with-brown-rice.jpg
